,index,lang,textfile,Freq,file,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Rel_freq,Sum_prob
24074,003BA,ell,κ,71163,8,49.0103978348065,1182,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.040564735818759204,1.0000000000000002
24075,003BA,grc,κ,89376,10,49.0103978348065,1182,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.03849732255463436,0.9946429489486401
24076,003BB,ell,λ,47237,8,36.881820027826706,1299,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.0269263019528509,1.0000000000000002
24077,003BB,grc,λ,63928,10,36.881820027826706,1299,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.027535992170970566,0.9946429489486401
24078,003BC,ell,μ,48515,8,50.605657689568005,1138,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.02765479474231135,1.0000000000000002
24079,003BC,grc,μ,60634,10,50.605657689568005,1138,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.026117152879718265,0.9946429489486401
24080,003BD,ell,ν,127432,8,31.515409746377898,1150,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.07263950950432278,1.0000000000000002
24081,003BD,grc,ν,195847,10,31.515409746377898,1150,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.08435805059923777,0.9946429489486401
24082,003BE,ell,ξ,6307,8,51.7517848517828,1379,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.0035951518177833185,1.0000000000000002
24083,003BE,grc,ξ,8586,10,51.7517848517828,1379,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.0036982860214609136,0.9946429489486401
24084,003BF,ell,ο,151329,8,37.0931939205354,1148,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.08626141262618231,1.0000000000000002
24085,003BF,grc,ο,220555,10,37.0931939205354,1148,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.09500063748699182,0.9946429489486401
24086,003C0,ell,π,65556,8,43.8162919725421,1181,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.03736860196077425,1.0000000000000002
24087,003C0,grc,π,77682,10,43.8162919725421,1181,Grek,84,0,alphabet,Phoenician,Phnx,2321616,0.033460313850352516,0.9946429489486401
24088,003C1,ell,ρ,62412,8,47.239828468331204,1132,Grek,84,0,alphabet,Phoenician,Phnx,1754307,0.035576441295622714,1.0000000000000002
